t,spd scale,shoulder_pan_joint pos,shoulder_lift_joint pos,elbow_joint pos,wrist_1_joint pos,wrist_2_joint pos,wrist_3_joint pos,shoulder_pan_joint vel,shoulder_lift_joint vel,elbow_joint vel,wrist_1_joint vel,wrist_2_joint vel,wrist_3_joint vel,shoulder_pan_joint acc,shoulder_lift_joint acc,elbow_joint acc,wrist_1_joint acc,wrist_2_joint acc,wrist_3_joint acc,shoulder_pan_joint effort,shoulder_lift_joint effort,elbow_joint effort,wrist_1_joint effort,wrist_2_joint effort,wrist_3_joint effort,act human j0 x, y, z,act human j1 x, y, z,act human j2 x, y, z,act human j3 x, y, z,act human j4 x, y, z,act human j5 x, y, z,act human j6 x, y, z,act human j7 x, y, z,act human j8 x, y, z,act human j9 x, y, z,act human j10 x, y, z,act human j11 x, y, z,act human j12 x, y, z,act human j13 x, y, z,act human j14 x, y, z,act human j15 x, y, z,act human j16 x, y, z,act human j17 x, y, z,act human j18 x, y, z,act human j19 x, y, z,act human j20 x, y, z,act human j21 x, y, z,act human j22 x, y, z,act human j23 x, y, z,act human j24 x, y, z,act human j25 x, y, z,act human j26 x, y, z,act human j27 x, y, z,act human j28 x, y, z,act human j29 x, y, z,act human j30 x, y, z,act human j31 x, y, z,act human j32 x, y, z,act human j33 x, y, z,act human j34 x, y, z,act human j35 x, y, z,act human j36 x, y, z,act human j37 x, y, z,act human j38 x, y, z,act human j39 x, y, z,act human j40 x, y, z,act human j41 x, y, z,act human j42 x, y, z,act human j43 x, y, z,act human j44 x, y, z,act human j45 x, y, z,act human j46 x, y, z,act human j47 x, y, z,act human j48 x, y, z,act human j49 x, y, z,act human j50 x, y, z,act human j51 x, y, z,act human j52 x, y, z,act human j53 x, y, z,act human j54 x, y, z,act human j55 x, y, z,act human j56 x, y, z,act human j57 x, y, z,skel pt 0 x, y, z,skel pt 1 x, y, z,skel pt 2 x, y, z,skel pt 3 x, y, z,skel pt 4 x, y, z,skel pt 5 x, y, z,skel pt 6 x, y, z,skel pt 7 x, y, z,skel pt 8 x, y, z,skel pt 9 x, y, z,skel pt 10 x, y, z,skel pt 11 x, y, z,skel pt 12 x, y, z,skel pt 13 x, y, z,skel pt 14 x, y, z,pred pelvis x, y, z,pred spine top x, y, z,pred head top x, y, z,pred l shoulder x, y, z,pred l elbow x, y, z,pred l wrist x, y, z,pred r shoulder x, y, z,pred r elbow x, y, z,pred r wrist x, y, z,plan time,min sep dist, tip speed
0.016761,100,2.82592,-1.57009,1.65737,-1.65743,1.56987,-1.25631,-0.031486,-0.0323335,0.05397,-0.0784093,-0.0497225,-0.115732,5.42864,5.58238,-9.31369,13.5381,8.5786,19.9842,0,0,0,0,0,0,0.816755,0.201378,0.976706,0.888672,0.189057,1.54101,0.735688,0.279412,1.71688,0.903026,0.36182,1.56492,0.925185,0.522796,1.33078,0.632785,0.117343,1.32027,0.874317,0.0162934,1.5171,0.842449,-0.0580238,1.24381,0.606157,0.381983,1.26747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599, , , , , , , , , , , , , , , , , , ,0.993853,0.0419336,0.952845,1.08135,0.00682579,1.51398,0.957111,0.0641151,1.72322,1.12631,0.164538,1.51262,1.14119,0.290623,1.25746,0.97765,0.186567,0.90757,1.0364,-0.150886,1.51534,1.01861,-0.198444,1.2349,0.947804,0.00761425,0.899449,8.71319,0.824813,0.0324658
0.0340435,100,2.82352,-1.57253,1.66145,-1.66335,1.5661,-1.26504,-0.225162,-0.22793,0.382279,-0.552389,-0.353095,-0.814524,97.0023,98.3576,-164.871,238.387,152.24,351.554,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599, , , , , , , , , , , , , , , , , , ,0.993853,0.0419336,0.952845,1.08135,0.00682579,1.51398,0.957111,0.0641151,1.72322,1.12631,0.164538,1.51262,1.14119,0.290623,1.25746,0.97765,0.186567,0.90757,1.0364,-0.150886,1.51534,1.01861,-0.198444,1.2349,0.947804,0.00761425,0.899449,8.71319,0.824813,0.228606
0.050131,100,2.81873,-1.57733,1.66953,-1.67498,1.55863,-1.28218,-0.357212,-0.356639,0.600937,-0.863786,-0.556434,-1.27247,173.967,173.998,-293.011,421.461,271.225,620.943,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599, , , , , , , , , , , , , , , , , , ,0.969091,0.0455396,0.961531,1.07322,-0.00476217,1.51866,0.947514,0.052765,1.72695,1.11785,0.152996,1.52275,1.13805,0.292443,1.27502,0.943972,0.158194,0.952044,1.0286,-0.16252,1.51456,1.021,-0.216689,1.23486,0.893955,0.0316918,0.948211,8.71319,0.8242,0.357563
0.0678945,97,2.81161,-1.58438,1.68144,-1.69204,1.54758,-1.30729,-0.502069,-0.493851,0.836367,-1.19532,-0.776497,-1.75899,256.441,252.73,-427.732,611.761,396.976,900.371,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599, , , , , , , , , , , , , , , , , , ,0.969091,0.0455396,0.961531,1.07322,-0.00476217,1.51866,0.947514,0.052765,1.72695,1.11785,0.152996,1.52275,1.13805,0.292443,1.27502,0.943972,0.158194,0.952044,1.0286,-0.16252,1.51456,1.021,-0.216689,1.23486,0.893955,0.0316918,0.948211,8.71319,0.8242,0.4952
0.0834124,98,2.80136,-1.59436,1.69841,-1.7162,1.5318,-1.34282,-0.672961,-0.650355,1.10813,-1.57285,-1.03207,-2.3116,314.534,304.588,-518.615,736.7,482.843,1082.88,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599, , , , , , , , , , , , , , , , , , ,0.969091,0.0455396,0.961531,1.07322,-0.00476217,1.51866,0.947514,0.052765,1.72695,1.11785,0.152996,1.52275,1.13805,0.292443,1.27502,0.943972,0.158194,0.952044,1.0286,-0.16252,1.51456,1.021,-0.216689,1.23486,0.893955,0.0316918,0.948211,8.71319,0.821586,0.652552
0.100321,94,2.79011,-1.60513,1.71681,-1.74223,1.51462,-1.38104,-0.753296,-0.715583,1.22658,-1.72922,-1.14593,-2.53819,386.327,367.806,-629.962,888.904,588.306,1304.97,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599, , , , , , , , , , , , , , , , , , ,0.969091,0.0455396,0.961531,1.07322,-0.00476217,1.51866,0.947514,0.052765,1.72695,1.11785,0.152996,1.52275,1.13805,0.292443,1.27502,0.943972,0.158194,0.952044,1.0286,-0.16252,1.51456,1.021,-0.216689,1.23486,0.893955,0.0316918,0.948211,8.71319,0.821586,0.718695
0.116737,94,2.77906,-1.61553,1.73471,-1.76736,1.49788,-1.41791,0,0,0,0,0,0,529.269,494.821,-852.934,1194.85,799.147,1751.72,0,0,0,0,0,0,0.818875,0.199069,0.970382,0.88784,0.180287,1.53487,0.724516,0.256947,1.70793,0.908557,0.352103,1.56086,0.896756,0.509821,1.32377,0.608318,0.101558,1.3126,0.867122,0.008471,1.50889,0.837506,-0.0683611,1.23605,0.599142,0.371052,1.24599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957, , , , , , , , , , , , , , , , , , ,0.969091,0.0455396,0.961531,1.07322,-0.00476217,1.51866,0.947514,0.052765,1.72695,1.11785,0.152996,1.52275,1.13805,0.292443,1.27502,0.943972,0.158194,0.952044,1.0286,-0.16252,1.51456,1.021,-0.216689,1.23486,0.893955,0.0316918,0.948211,8.71319,0.807647,0
0.133396,90,2.76182,-1.63143,1.76224,-1.80573,1.47202,-1.4741,-0.889855,-0.811754,1.41151,-1.95782,-1.32838,-2.86486,447.189,409.167,-710.72,986.991,668.499,1444.59,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957, , , , , , , , , , , , , , , , , , ,0.969091,0.0455396,0.961531,1.07322,-0.00476217,1.51866,0.947514,0.052765,1.72695,1.11785,0.152996,1.52275,1.13805,0.292443,1.27502,0.943972,0.158194,0.952044,1.0286,-0.16252,1.51456,1.021,-0.216689,1.23486,0.893955,0.0316918,0.948211,8.71319,0.807647,0.817627
0.150068,86,2.74683,-1.64489,1.78577,-1.83816,1.44981,-1.5215,-0.945549,-0.83863,1.47296,-2.01983,-1.39329,-2.949,485.793,432.325,-758.403,1041.42,716.939,1520.92,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957, , , , , , , , , , , , , , , , , , ,0.936787,0.0576022,0.975195,1.06877,-0.0129501,1.52416,0.936423,0.0554596,1.72492,1.10377,0.147093,1.53173,1.16191,0.298809,1.29758,0.936264,0.118471,1.02088,1.03377,-0.172993,1.51659,1.03996,-0.23053,1.23753,0.852337,0.0667673,1.04671,8.71319,0.801836,0.845598
0.166729,86,2.73089,-1.65881,1.81037,-1.87167,1.42648,-1.57037,-1.025,-0.884472,1.56912,-2.12725,-1.49167,-3.09885,511.324,442.758,-784.483,1065.07,745.286,1551.98,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957, , , , , , , , , , , , , , , , , , ,0.936787,0.0576022,0.975195,1.06877,-0.0129501,1.52416,0.936423,0.0554596,1.72492,1.10377,0.147093,1.53173,1.16191,0.298809,1.29758,0.936264,0.118471,1.02088,1.03377,-0.172993,1.51659,1.03996,-0.23053,1.23753,0.852337,0.0667673,1.04671,8.71319,0.801836,0.893255
0.183397,87,2.71141,-1.67532,1.83986,-1.91134,1.39836,-1.62807,-1.11567,-0.93492,1.67682,-2.24512,-1.60256,-3.26244,564.931,473.744,-849.46,1137.69,811.738,1653.31,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957, , , , , , , , , , , , , , , , , , ,0.936787,0.0576022,0.975195,1.06877,-0.0129501,1.52416,0.936423,0.0554596,1.72492,1.10377,0.147093,1.53173,1.16191,0.298809,1.29758,0.936264,0.118471,1.02088,1.03377,-0.172993,1.51659,1.03996,-0.23053,1.23753,0.852337,0.0667673,1.04671,8.71319,0.793808,0.946717
0.200065,83,2.69405,-1.69001,1.8661,-1.94663,1.37332,-1.67938,-1.06544,-0.907267,1.61713,-2.18057,-1.541,-3.17303,533.716,453.675,-809.193,1090.28,771.349,1586.27,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957, , , , , , , , , , , , , , , , , , ,0.936787,0.0576022,0.975195,1.06877,-0.0129501,1.52416,0.936423,0.0554596,1.72492,1.10377,0.147093,1.53173,1.16191,0.298809,1.29758,0.936264,0.118471,1.02088,1.03377,-0.172993,1.51659,1.03996,-0.23053,1.23753,0.852337,0.0667673,1.04671,8.71319,0.793808,0.923464
0.216737,83,2.67812,-1.70366,1.89037,-1.97945,1.35022,-1.72717,-0.970383,-0.835685,1.48304,-2.00971,-1.41032,-2.92721,480.539,413.374,-733.91,994.052,698.067,1447.73,0,0,0,0,0,0,0.820365,0.195615,0.967545,0.886897,0.171608,1.53213,0.720037,0.241932,1.7045,0.907418,0.34292,1.56139,0.899002,0.503345,1.32598,0.59403,0.107123,1.32646,0.866377,0.000296801,1.50287,0.838247,-0.0757448,1.22965,0.580792,0.352759,1.21957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818373,0.19296,0.973565,0.876541,0.170257,1.53913,0.710541,0.245094,1.71043,0.898656,0.341092,1.56997,0.89948,0.51113,1.34125,0.582225,0.124796,1.35102,0.854426,-0.00057815,1.50829,0.834091,-0.0728167,1.23334,0.558418,0.343993,1.21678, , , , , , , , , , , , , , , , , , ,0.936787,0.0576022,0.975195,1.06877,-0.0129501,1.52416,0.936423,0.0554596,1.72492,1.10377,0.147093,1.53173,1.16191,0.298809,1.29758,0.936264,0.118471,1.02088,1.03377,-0.172993,1.51659,1.03996,-0.23053,1.23753,0.852337,0.0667673,1.04671,8.71319,0.782599,0.85459
0.233398,79,2.66186,-1.71773,1.91529,-2.01328,1.32654,-1.77647,-0.864165,-0.750144,1.32707,-1.80474,-1.26017,-2.63043,430.454,373.12,-660.458,897.609,627.329,1308.12,0,0,0,0,0,0,0.818373,0.19296,0.973565,0.876541,0.170257,1.53913,0.710541,0.245094,1.71043,0.898656,0.341092,1.56997,0.89948,0.51113,1.34125,0.582225,0.124796,1.35102,0.854426,-0.00057815,1.50829,0.834091,-0.0728167,1.23334,0.558418,0.343993,1.21678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818373,0.19296,0.973565,0.876541,0.170257,1.53913,0.710541,0.245094,1.71043,0.898656,0.341092,1.56997,0.89948,0.51113,1.34125,0.582225,0.124796,1.35102,0.854426,-0.00057815,1.50829,0.834091,-0.0728167,1.23334,0.558418,0.343993,1.21678, , , , , , , , , , , , , , , , , , ,0.936787,0.0576022,0.975195,1.06877,-0.0129501,1.52416,0.936423,0.0554596,1.72492,1.10377,0.147093,1.53173,1.16191,0.298809,1.29758,0.936264,0.118471,1.02088,1.03377,-0.172993,1.51659,1.03996,-0.23053,1.23753,0.852337,0.0667673,1.04671,8.71319,0.782599,0.770646
